feature,importance
URLSimilarityIndex,0.18124410965757615
NoOfExternalRef,0.1672757568981418
LineOfCode,0.154845016433337
NoOfSelfRef,0.10732086859753502
NoOfImage,0.08716075161549974
NoOfJS,0.0716698896054394
HasSocialNet,0.033878588257905635
NoOfCSS,0.029880048400611297
HasCopyrightInfo,0.02485823803288956
IsHTTPS,0.02206306634325537
LargestLineLength,0.01873485086357253
HasDescription,0.018000018513099673
NoOfOtherSpecialCharsInURL,0.013474364939085326
NoOfDegitsInURL,0.01290190830889667
DegitRatioInURL,0.010179588963971207
NoOfLettersInURL,0.007820469209604906
DomainTitleMatchScore,0.00706976489840945
IsResponsive,0.006239812036828999
URLLength,0.0057266791224468904
URLTitleMatchScore,0.003199228261078532
LetterRatioInURL,0.003111558931226419
HasSubmitButton,0.003043701977008873
NoOfSubDomain,0.0025140841480654707
SpacialCharRatioInURL,0.002486438449642628
NoOfEmptyRef,0.0020012226678313687
CharContinuationRate,0.0006093965920389639
HasFavicon,0.0005590213134983806
URLCharProb,0.0003814194713922956
TLDLength,0.00029332682854390634
NoOfQMarkInURL,0.0002929745555076817
DomainLength,0.00029064959360047837
NoOfiFrame,0.00018245000361394821
TLDLegitimateProb,0.00016561198804263075
HasHiddenFields,0.00013601053110184438
NoOfEqualsInURL,9.987641738702852e-05
Pay,5.433947587438731e-05
Bank,4.7318097970822925e-05
HasPasswordField,3.695208350921783e-05
Robots,3.444560290435417e-05
NoOfAmpersandInURL,3.115085096150382e-05
HasTitle,2.895901710802573e-05
NoOfPopup,2.8839623223302893e-05
NoOfSelfRedirect,1.0308595142373592e-05
NoOfURLRedirect,9.226009155497366e-06
Crypto,4.544103460304801e-06
HasObfuscation,2.20227681606464e-06
HasExternalFormSubmit,9.518361871749864e-07
NoOfObfuscatedChar,0.0
ObfuscationRatio,0.0
IsDomainIP,0.0
